EmployeeNumber,Age,Gender,Department,JobRole,JobLevel,MonthlyIncome,PerformanceRating,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,Attrition,salary_percentile,role_avg_salary,diff_from_role_avg,pay_status,talent_value_flag,salary_quartile,salary_quartile_label,attrition_flag
103,46,Male,"Human Resources","Human Resources",2,5021,4,4,2,3,Yes,No,70.6,4236,785,Fair,Normal,3,"Upper Mid 25%",0
869,28,Male,"Human Resources","Human Resources",1,4936,3,5,4,3,No,No,68.6,4236,700,Fair,Normal,3,"Upper Mid 25%",0
1289,34,Male,"Human Resources","Human Resources",2,4490,3,10,2,4,No,No,66.7,4236,254,Fair,Normal,3,"Upper Mid 25%",0
1164,35,Male,"Human Resources","Human Resources",1,4323,3,5,3,1,No,No,64.7,4236,87,Fair,Normal,3,"Upper Mid 25%",0
1794,37,Male,"Human Resources","Human Resources",2,4071,3,10,2,2,No,No,62.7,4236,-165,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
1890,36,Male,"Human Resources","Human Resources",2,3886,4,10,4,2,No,No,60.8,4236,-350,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
847,34,Male,"Human Resources","Human Resources",1,3737,3,3,4,1,No,No,58.8,4236,-499,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
1207,33,Male,"Human Resources","Human Resources",1,3600,3,5,3,3,No,No,56.9,4236,-636,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
1778,43,Male,"Human Resources","Human Resources",1,3539,3,9,4,3,No,No,54.9,4236,-697,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
1314,46,Female,"Human Resources","Human Resources",1,3423,3,7,1,4,No,No,52.9,4236,-813,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
1683,44,Female,"Human Resources","Human Resources",1,3195,3,2,4,3,Yes,No,51,4236,-1041,Underpaid,"Undervalued High Performer",3,"Upper Mid 25%",0
1972,38,Male,"Human Resources","Human Resources",1,2991,3,6,2,3,Yes,No,49,4236,-1245,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1842,31,Male,"Human Resources","Human Resources",1,2956,3,1,1,3,No,Yes,47.1,4236,-1280,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",1
177,26,Female,"Human Resources","Human Resources",1,2942,4,8,3,3,No,No,45.1,4236,-1294,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1944,27,Female,"Human Resources","Human Resources",1,2863,3,1,2,3,No,Yes,43.1,4236,-1373,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",1
1152,38,Male,"Human Resources","Human Resources",1,2844,3,7,3,4,No,No,41.2,4236,-1392,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1865,29,Male,"Human Resources","Human Resources",1,2804,3,1,2,3,No,No,39.2,4236,-1432,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1467,34,Female,"Human Resources","Human Resources",1,2742,3,2,3,3,No,Yes,37.3,4236,-1494,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",1
608,26,Female,"Human Resources","Human Resources",1,2741,3,7,3,2,Yes,Yes,35.3,4236,-1495,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",1
1858,28,Male,"Human Resources","Human Resources",1,2706,3,3,4,3,No,No,33.3,4236,-1530,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
470,42,Male,"Human Resources","Human Resources",1,2696,3,3,3,3,Yes,No,31.4,4236,-1540,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1805,38,Male,"Human Resources","Human Resources",1,2592,3,11,2,3,No,No,29.4,4236,-1644,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
566,19,Male,"Human Resources","Human Resources",1,2564,3,1,4,4,No,Yes,27.5,4236,-1672,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",1
878,36,Male,"Human Resources","Human Resources",1,2342,4,5,1,3,No,No,25.5,4236,-1894,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1844,29,Male,"Human Resources","Human Resources",1,2335,3,2,1,3,Yes,Yes,23.5,4236,-1901,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
910,33,Male,"Human Resources","Human Resources",1,2277,3,4,2,4,Yes,No,21.6,4236,-1959,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
321,59,Male,"Human Resources","Human Resources",1,2267,3,2,3,2,No,No,19.6,4236,-1969,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1987,25,Female,"Human Resources","Human Resources",1,2187,3,2,2,3,No,No,17.6,4236,-2049,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1747,30,Female,"Human Resources","Human Resources",1,2180,3,4,4,2,No,Yes,15.7,4236,-2056,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
1049,45,Male,"Human Resources","Human Resources",1,2177,3,6,2,3,No,No,13.7,4236,-2059,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1818,26,Female,"Human Resources","Human Resources",1,2148,3,5,2,3,Yes,Yes,11.8,4236,-2088,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
1746,24,Male,"Human Resources","Human Resources",1,2145,3,2,4,3,No,No,9.8,4236,-2091,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
829,36,Male,"Human Resources","Human Resources",1,2143,3,5,2,3,No,No,7.8,4236,-2093,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1461,31,Female,"Human Resources","Human Resources",1,2109,3,3,2,3,No,No,5.9,4236,-2127,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
133,37,Male,"Human Resources","Human Resources",1,2073,4,3,1,3,Yes,Yes,3.9,4236,-2163,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
1499,30,Male,"Human Resources","Human Resources",1,2064,4,5,3,4,No,No,2,4236,-2172,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1714,24,Male,"Human Resources","Human Resources",1,1555,3,1,3,3,No,Yes,0,4236,-2681,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
1338,56,Male,"Human Resources",Manager,5,19717,3,7,2,3,No,No,93.1,17182,2535,Fair,Normal,4,"Top 25%",0
1625,47,Female,"Human Resources",Manager,5,19658,3,5,3,3,No,No,92.1,17182,2476,Fair,Normal,4,"Top 25%",0
1973,55,Male,"Human Resources",Manager,5,19636,3,10,2,3,Yes,No,91.1,17182,2454,Fair,Normal,4,"Top 25%",0
734,41,Male,"Human Resources",Manager,5,19189,3,22,3,3,No,No,77.2,17182,2007,Fair,Normal,4,"Top 25%",0
731,41,Male,"Human Resources",Manager,5,19141,3,21,4,2,No,No,75.2,17182,1959,Fair,Normal,3,"Upper Mid 25%",0
140,59,Female,"Human Resources",Manager,5,18844,4,3,4,3,No,No,68.3,17182,1662,Fair,Normal,3,"Upper Mid 25%",0
644,50,Male,"Human Resources",Manager,5,18200,3,32,2,3,No,No,60.4,17182,1018,Fair,Normal,3,"Upper Mid 25%",0
148,54,Female,"Human Resources",Manager,4,17328,3,5,4,3,Yes,No,47.5,17182,146,Fair,Normal,2,"Lower Mid 25%",0
1408,42,Female,"Human Resources",Manager,4,16799,3,20,1,3,No,No,33.7,17182,-383,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1550,40,Male,"Human Resources",Manager,4,16437,4,21,4,3,Yes,No,25.7,17182,-745,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1352,51,Male,"Human Resources",Manager,4,14026,3,33,2,3,Yes,No,11.9,17182,-3156,Fair,"Undervalued High Performer",1,"Bottom 25%",0
1661,49,Female,"Research & Development","Healthcare Representative",4,13966,3,15,3,3,Yes,No,100,7529,6437,Overpaid,Normal,4,"Top 25%",0
431,49,Female,"Research & Development","Healthcare Representative",4,13964,3,7,3,3,Yes,No,99.2,7529,6435,Overpaid,Normal,4,"Top 25%",0
258,51,Female,"Research & Development","Healthcare Representative",4,13734,3,7,2,3,No,No,98.5,7529,6205,Overpaid,Normal,4,"Top 25%",0
1278,55,Male,"Research & Development","Healthcare Representative",4,13577,3,33,2,3,Yes,No,97.7,7529,6048,Overpaid,Normal,4,"Top 25%",0
119,40,Male,"Research & Development","Healthcare Representative",4,13503,4,22,2,2,No,No,96.9,7529,5974,Overpaid,Normal,4,"Top 25%",0
372,45,Male,"Research & Development","Healthcare Representative",4,13496,3,20,4,3,Yes,No,96.2,7529,5967,Overpaid,Normal,4,"Top 25%",0
1127,39,Male,"Research & Development","Healthcare Representative",4,12169,3,18,4,3,No,Yes,95.4,7529,4640,Overpaid,Normal,4,"Top 25%",1
1606,50,Male,"Research & Development","Healthcare Representative",4,11245,3,30,3,3,Yes,No,94.6,7529,3716,Overpaid,Normal,4,"Top 25%",0
762,56,Male,"Research & Development","Healthcare Representative",4,11103,3,10,4,2,No,No,93.8,7529,3574,Overpaid,Normal,4,"Top 25%",0
1024,48,Male,"Research & Development","Healthcare Representative",3,10999,3,15,3,3,No,No,93.1,7529,3470,Overpaid,Normal,4,"Top 25%",0
499,49,Male,"Research & Development","Healthcare Representative",3,10965,4,5,3,3,No,No,92.3,7529,3436,Overpaid,Normal,4,"Top 25%",0
343,39,Female,"Research & Development","Healthcare Representative",3,10938,4,19,3,3,No,No,91.5,7529,3409,Overpaid,Normal,4,"Top 25%",0
1397,39,Male,"Research & Development","Healthcare Representative",3,10920,4,6,3,3,No,No,90.8,7529,3391,Overpaid,Normal,4,"Top 25%",0
1697,60,Male,"Research & Development","Healthcare Representative",3,10883,4,1,4,4,No,No,90,7529,3354,Overpaid,Normal,4,"Top 25%",0
1460,45,Male,"Research & Development","Healthcare Representative",3,10851,3,7,1,3,Yes,No,89.2,7529,3322,Overpaid,Normal,4,"Top 25%",0
1712,45,Male,"Research & Development","Healthcare Representative",3,10748,4,23,3,2,No,No,88.5,7529,3219,Overpaid,Normal,4,"Top 25%",0
124,46,Male,"Research & Development","Healthcare Representative",3,10673,3,10,1,2,Yes,No,87.7,7529,3144,Overpaid,Normal,4,"Top 25%",0
940,58,Female,"Research & Development","Healthcare Representative",3,10552,3,6,2,3,Yes,No,86.9,7529,3023,Overpaid,Normal,4,"Top 25%",0
624,46,Female,"Research & Development","Healthcare Representative",3,10527,3,2,3,2,No,No,86.2,7529,2998,Overpaid,Normal,4,"Top 25%",0
491,50,Male,"Research & Development","Healthcare Representative",3,10496,3,4,4,3,No,No,85.4,7529,2967,Overpaid,Normal,4,"Top 25%",0
1484,49,Male,"Research & Development","Healthcare Representative",3,10466,3,8,2,3,No,No,84.6,7529,2937,Overpaid,Normal,4,"Top 25%",0
1118,52,Male,"Research & Development","Healthcare Representative",3,10445,3,8,2,3,No,No,83.8,7529,2916,Overpaid,Normal,4,"Top 25%",0
1014,35,Female,"Research & Development","Healthcare Representative",3,10388,3,16,3,2,Yes,No,83.1,7529,2859,Overpaid,Normal,4,"Top 25%",0
1092,40,Male,"Research & Development","Healthcare Representative",3,10322,4,11,4,3,No,No,82.3,7529,2793,Overpaid,Normal,4,"Top 25%",0
165,58,Female,"Research & Development","Healthcare Representative",3,10312,3,40,4,2,No,Yes,81.5,7529,2783,Overpaid,Normal,4,"Top 25%",1
36,44,Female,"Research & Development","Healthcare Representative",3,10248,3,22,4,3,No,No,80.8,7529,2719,Overpaid,Normal,4,"Top 25%",0
1547,42,Male,"Research & Development","Healthcare Representative",3,10124,3,20,4,1,Yes,No,80,7529,2595,Overpaid,Normal,4,"Top 25%",0
83,36,Female,"Research & Development","Healthcare Representative",3,10096,3,17,3,3,No,No,79.2,7529,2567,Overpaid,Normal,4,"Top 25%",0
2062,39,Male,"Research & Development","Healthcare Representative",3,9991,3,7,1,3,No,No,78.5,7529,2462,Overpaid,Normal,4,"Top 25%",0
451,43,Female,"Research & Development","Healthcare Representative",3,9985,3,1,1,2,No,No,77.7,7529,2456,Overpaid,Normal,4,"Top 25%",0
70,35,Male,"Research & Development","Healthcare Representative",3,9884,3,4,1,3,Yes,No,76.9,7529,2355,Overpaid,Normal,4,"Top 25%",0
634,38,Female,"Research & Development","Healthcare Representative",2,9824,3,1,3,3,No,No,75.4,7529,2295,Overpaid,Normal,3,"Upper Mid 25%",0
587,31,Male,"Research & Development","Healthcare Representative",3,9824,3,1,3,3,No,Yes,75.4,7529,2295,Overpaid,Normal,4,"Top 25%",1
1544,29,Female,"Research & Development","Healthcare Representative",2,9715,3,7,1,3,No,No,74.6,7529,2186,Overpaid,Normal,3,"Upper Mid 25%",0
417,39,Male,"Research & Development","Healthcare Representative",3,9613,3,18,4,2,No,No,73.8,7529,2084,Overpaid,Normal,3,"Upper Mid 25%",0
223,57,Male,"Research & Development","Healthcare Representative",3,9439,3,5,4,1,Yes,No,73.1,7529,1910,Overpaid,Normal,3,"Upper Mid 25%",0
288,46,Male,"Research & Development","Healthcare Representative",3,9396,3,4,1,3,No,No,72.3,7529,1867,Overpaid,Normal,3,"Upper Mid 25%",0
1821,46,Female,"Research & Development","Healthcare Representative",2,8926,4,9,2,4,No,Yes,71.5,7529,1397,Fair,Normal,3,"Upper Mid 25%",1
1590,29,Male,"Research & Development","Healthcare Representative",2,8853,3,6,4,4,No,No,70.8,7529,1324,Fair,Normal,3,"Upper Mid 25%",0
1088,38,Female,"Research & Development","Healthcare Representative",3,8823,3,19,3,2,No,No,70,7529,1294,Fair,Normal,3,"Upper Mid 25%",0
1082,28,Male,"Research & Development","Healthcare Representative",3,8722,3,10,1,2,No,Yes,69.2,7529,1193,Fair,Normal,3,"Upper Mid 25%",1
1993,47,Male,"Research & Development","Healthcare Representative",3,8633,4,17,3,3,No,No,68.5,7529,1104,Fair,Normal,3,"Upper Mid 25%",0
717,34,Female,"Research & Development","Healthcare Representative",3,8621,3,8,2,4,No,No,67.7,7529,1092,Fair,Normal,3,"Upper Mid 25%",0
1529,35,Female,"Research & Development","Healthcare Representative",3,8606,3,11,2,1,No,No,66.9,7529,1077,Fair,Normal,3,"Upper Mid 25%",0
1344,34,Male,"Research & Development","Healthcare Representative",3,8500,3,9,4,2,No,No,66.2,7529,971,Fair,Normal,3,"Upper Mid 25%",0
1790,36,Male,"Research & Development","Healthcare Representative",3,8321,3,12,1,3,Yes,No,65.4,7529,792,Fair,Normal,3,"Upper Mid 25%",0
1651,36,Female,"Research & Development","Healthcare Representative",3,8008,3,3,1,3,No,No,64.6,7529,479,Fair,Normal,3,"Upper Mid 25%",0
1295,44,Female,"Research & Development","Healthcare Representative",3,7978,3,10,4,3,No,Yes,63.8,7529,449,Fair,Normal,3,"Upper Mid 25%",1
1703,44,Female,"Research & Development","Healthcare Representative",3,7879,3,8,4,3,Yes,No,63.1,7529,350,Fair,Normal,3,"Upper Mid 25%",0
1103,34,Male,"Research & Development","Healthcare Representative",2,7756,3,6,4,2,No,No,62.3,7529,227,Fair,Normal,3,"Upper Mid 25%",0
692,33,Male,"Research & Development","Healthcare Representative",2,7725,4,13,4,1,No,No,61.5,7529,196,Fair,Normal,3,"Upper Mid 25%",0
586,35,Male,"Research & Development","Healthcare Representative",3,7632,3,8,3,3,Yes,No,60.8,7529,103,Fair,Normal,3,"Upper Mid 25%",0
724,38,Female,"Research & Development","Healthcare Representative",2,7625,3,9,4,2,No,No,60,7529,96,Fair,Normal,3,"Upper Mid 25%",0
1421,29,Female,"Research & Development","Healthcare Representative",3,7553,3,8,4,3,Yes,Yes,59.2,7529,24,Fair,Normal,3,"Upper Mid 25%",1
1971,43,Male,"Research & Development","Healthcare Representative",3,7510,3,10,3,3,No,No,58.5,7529,-19,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
145,51,Female,"Research & Development","Healthcare Representative",3,7484,4,13,1,2,No,No,57.7,7529,-45,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
1553,45,Male,"Research & Development","Healthcare Representative",3,7441,3,10,2,3,No,No,56.9,7529,-88,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
1099,33,Male,"Research & Development","Healthcare Representative",3,7119,3,3,4,3,No,No,56.2,7529,-410,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
1312,36,Female,"Research & Development","Healthcare Representative",3,7094,3,7,3,3,No,No,55.4,7529,-435,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
1689,53,Male,"Research & Development","Healthcare Representative",3,7005,3,4,4,3,No,No,54.6,7529,-524,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
969,33,Female,"Research & Development","Healthcare Representative",2,6949,3,5,4,3,No,No,53.8,7529,-580,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
1814,41,Male,"Research & Development","Healthcare Representative",2,6870,3,3,2,1,No,No,53.1,7529,-659,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
1664,36,Male,"Research & Development","Healthcare Representative",2,6842,4,5,1,3,No,No,52.3,7529,-687,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
1251,31,Male,"Research & Development","Healthcare Representative",2,6833,3,6,1,2,Yes,No,51.5,7529,-696,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
1252,31,Female,"Research & Development","Healthcare Representative",2,6812,3,10,1,3,No,No,50.8,7529,-717,Fair,"Undervalued High Performer",3,"Upper Mid 25%",0
764,27,Female,"Research & Development","Healthcare Representative",2,6811,3,7,1,1,No,No,49.2,7529,-718,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
616,41,Female,"Research & Development","Healthcare Representative",2,6811,3,8,3,3,Yes,No,49.2,7529,-718,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
477,42,Male,"Research & Development","Healthcare Representative",2,6781,4,1,4,3,No,No,48.5,7529,-748,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
482,57,Male,"Research & Development","Healthcare Representative",2,6755,3,3,3,3,No,No,47.7,7529,-774,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1383,34,Female,"Research & Development","Healthcare Representative",2,6687,3,14,4,4,No,No,46.9,7529,-842,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
282,38,Male,"Research & Development","Healthcare Representative",2,6673,3,1,1,3,Yes,Yes,46.2,7529,-856,Fair,"Undervalued High Performer",2,"Lower Mid 25%",1
1955,32,Female,"Research & Development","Healthcare Representative",2,6667,3,5,4,3,No,No,45.4,7529,-862,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1473,49,Male,"Research & Development","Healthcare Representative",2,6651,3,3,3,2,No,No,44.6,7529,-878,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1260,29,Male,"Research & Development","Healthcare Representative",2,6623,3,6,4,3,Yes,No,43.8,7529,-906,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
924,36,Male,"Research & Development","Healthcare Representative",2,6586,3,16,4,2,Yes,No,43.1,7529,-943,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
496,35,Male,"Research & Development","Healthcare Representative",2,6540,3,1,2,3,No,No,42.3,7529,-989,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1822,40,Female,"Research & Development","Healthcare Representative",2,6513,3,5,4,3,No,No,41.5,7529,-1016,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
40,44,Male,"Research & Development","Healthcare Representative",2,6465,3,4,4,4,Yes,No,40.8,7529,-1064,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1515,33,Male,"Research & Development","Healthcare Representative",2,6388,3,0,3,3,Yes,No,40,7529,-1141,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1034,55,Male,"Research & Development","Healthcare Representative",2,6385,3,8,2,3,Yes,No,39.2,7529,-1144,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1859,29,Male,"Research & Development","Healthcare Representative",2,6384,3,7,3,3,No,No,38.5,7529,-1145,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1375,40,Female,"Research & Development","Healthcare Representative",2,6377,4,12,3,3,No,No,37.7,7529,-1152,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
2026,56,Male,"Research & Development","Healthcare Representative",2,6306,4,13,3,2,No,No,36.9,7529,-1223,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1753,29,Male,"Research & Development","Healthcare Representative",2,6294,3,3,3,4,Yes,No,36.2,7529,-1235,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
837,38,Male,"Research & Development","Healthcare Representative",2,6288,3,4,1,2,No,No,35.4,7529,-1241,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
757,34,Female,"Research & Development","Healthcare Representative",2,6142,3,5,3,3,No,No,33.8,7529,-1387,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1587,35,Female,"Research & Development","Healthcare Representative",2,6142,3,5,3,3,Yes,No,33.8,7529,-1387,Fair,"Undervalued High Performer",2,"Lower Mid 25%",0
1970,33,Male,"Research & Development","Healthcare Representative",2,5968,4,9,3,3,No,No,33.1,7529,-1561,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
852,44,Male,"Research & Development","Healthcare Representative",2,5933,3,5,2,2,No,No,32.3,7529,-1596,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
961,31,Female,"Research & Development","Healthcare Representative",2,5855,3,9,4,1,Yes,No,31.5,7529,-1674,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1766,38,Male,"Research & Development","Healthcare Representative",2,5811,3,1,4,3,Yes,No,30.8,7529,-1718,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
393,38,Male,"Research & Development","Healthcare Representative",2,5745,3,2,4,3,No,No,30,7529,-1784,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1161,37,Female,"Research & Development","Healthcare Representative",2,5731,3,6,4,3,No,No,29.2,7529,-1798,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
2049,35,Male,"Research & Development","Healthcare Representative",2,5689,3,10,3,4,Yes,No,28.5,7529,-1840,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
412,28,Male,"Research & Development","Healthcare Representative",2,5661,3,8,1,3,No,No,27.7,7529,-1868,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
422,58,Male,"Research & Development","Healthcare Representative",2,5660,3,5,3,3,Yes,No,26.9,7529,-1869,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
367,31,Male,"Research & Development","Healthcare Representative",2,5582,4,9,4,3,No,No,26.2,7529,-1947,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
1727,46,Male,"Research & Development","Healthcare Representative",2,5562,3,10,2,3,No,No,24.6,7529,-1967,Underpaid,"Undervalued High Performer",2,"Lower Mid 25%",0
902,43,Female,"Research & Development","Healthcare Representative",2,5562,3,5,4,2,No,No,24.6,7529,-1967,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1803,42,Male,"Research & Development","Healthcare Representative",2,5538,3,0,1,2,No,No,23.8,7529,-1991,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
998,33,Female,"Research & Development","Healthcare Representative",2,5488,3,6,2,3,Yes,No,23.1,7529,-2041,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1922,45,Male,"Research & Development","Healthcare Representative",2,5399,3,4,3,3,No,No,22.3,7529,-2130,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1954,29,Male,"Research & Development","Healthcare Representative",2,5373,3,5,1,2,No,No,21.5,7529,-2156,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1682,36,Male,"Research & Development","Healthcare Representative",2,5347,3,3,3,2,No,No,20.8,7529,-2182,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1184,34,Male,"Research & Development","Healthcare Representative",2,5343,4,13,1,3,No,No,20,7529,-2186,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1763,30,Male,"Research & Development","Healthcare Representative",2,5294,3,7,3,3,No,No,19.2,7529,-2235,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
13,36,Male,"Research & Development","Healthcare Representative",2,5237,3,7,3,2,No,No,18.5,7529,-2292,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
139,37,Male,"Research & Development","Healthcare Representative",2,5163,3,1,4,4,No,No,17.7,7529,-2366,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
771,35,Female,"Research & Development","Healthcare Representative",2,5093,3,1,1,4,No,No,16.9,7529,-2436,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1597,34,Male,"Research & Development","Healthcare Representative",2,5063,3,8,3,2,No,No,16.2,7529,-2466,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1903,44,Male,"Research & Development","Healthcare Representative",2,5033,3,2,1,3,No,No,15.4,7529,-2496,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
2009,33,Female,"Research & Development","Healthcare Representative",2,4878,3,9,4,3,Yes,No,14.6,7529,-2651,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
287,40,Male,"Research & Development","Healthcare Representative",2,4876,3,3,4,1,No,No,13.8,7529,-2653,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
1033,37,Female,"Research & Development","Healthcare Representative",2,4777,3,1,2,1,No,Yes,13.1,7529,-2752,Underpaid,"Undervalued High Performer",1,"Bottom 25%",1
390,26,Male,"Research & Development","Healthcare Representative",2,4741,3,5,1,3,Yes,No,12.3,7529,-2788,Underpaid,"Undervalued High Performer",1,"Bottom 25%",0
